Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time Unit,Scale_Company_Size,Scale_Revenue
"$37,865 /yr (est.)",37865.0,Audio Artist 2 - Commentary Recording Engineer (Contract),0.0,2,-1,Electronic Arts,LA,4.0,0,41.0,10000+ Employees,1982,Public,Video Game Publishing,Media & Communication,$5 to $10 billion (USD),3.8,3.8,4.1,3.6,4.0,yr,7.0,8.0
"$70,051 /yr (est.)",70051.0,3D Environment Artist (mid-level),5.0,1,1,Super Evil Megacorp,LA,3.8,0,11.0,51 to 200 Employees,2012,Private,Video Game Publishing,Media & Communication,$5 to $25 million (USD),3.8,3.3,3.9,3.7,3.7,yr,2.0,3.0
$37.50 /hr (est.),78000.0,Creative Production Artist,0.0,2,-1,Midnight Oil,LA,2.8,0,45.0,201 to 500 Employees,1978,Private,Advertising & Public Relations,Media & Communication,$25 to $100 million (USD),2.6,3.0,3.0,2.4,2.9,hr,3.0,5.7894736842105265
"$49,000 /yr (est.)",49000.0,Junior 3D Artist [mobile video games],2.0,1,0,FUN-GI GAMES,LA,3.9538461538461536,0,9.0,1 to 50 Employees,2014,Private,Video Game Publishing,Media & Communication,$1 to $5 million (USD),3.5759999999999996,3.7479999999999993,3.9440000000000004,3.588,3.9760000000000004,yr,1.0,2.0
"$62,566 /yr (est.)",62566.0,Character Artist,2.5,-1,-1,Arkane Studios,LA,3.4,0,25.666666666666668,-1,-1,Private,-1,-1,-1,3.1,3.9,3.8,3.4,3.9,yr,4.285714285714286,5.7894736842105265
"$91,842 /yr (est.)",91842.0,Unity Game Developer,3.0,1,-1,TapBlaze,LA,5.0,0,11.0,1 to 50 Employees,2012,Private,Video Game Publishing,Media & Communication,$1 to $5 million (USD),3.5759999999999996,3.7479999999999993,3.9440000000000004,3.588,3.9760000000000004,yr,1.0,2.0
"$107,336 /yr (est.)",107336.0,Technical Game Designer,2.5,-1,-1,Funovus,LA,3.9538461538461536,0,25.666666666666668,-1,-1,Private,-1,-1,-1,3.5759999999999996,3.7479999999999993,3.9440000000000004,3.588,3.9760000000000004,yr,4.285714285714286,5.7894736842105265
"$83,491 /yr (est.)",83491.0,Lead Technical Animator,5.0,1,1,Ubisoft,LA,3.8,0,37.0,10000+ Employees,1986,Public,Video Game Publishing,Media & Communication,$1 to $5 billion (USD),3.6,3.1,3.9,3.3,4.2,yr,7.0,7.0
"$112,500 /yr (est.)",112500.0,SENIOR CHARACTER ANIMATOR,5.0,2,1,Evil Eye Pictures,LA,4.9,0,19.0,1 to 50 Employees,2004,Private,Film Production,Media & Communication,$5 to $25 million (USD),4.5,4.4,4.9,4.7,4.9,yr,1.0,3.0
"$65,147 /yr (est.)",65147.0,Senior Animator (Onsite/Remote),5.0,1,1,"Impact Recruiting, LLC",LA,5.0,0,16.0,1 to 50 Employees,2007,Private,Advertising & Public Relations,Media & Communication,Less than $1 million (USD),4.4,4.7,5.0,5.0,5.0,yr,1.0,1.0
"$41,657 /yr (est.)",41657.0,Junior Rigger,0.0,2,0,SuperGenius,LA,5.0,0,25.666666666666668,-1,-1,Private,-1,-1,-1,4.8,4.5,5.0,4.5,4.8,yr,4.285714285714286,5.7894736842105265
"$89,760 /yr (est.)",89760.0,Lead Animator,5.0,2,1,Warner Bros. Discovery,LA,3.8,0,20.0,10000+ Employees,2003,Public,Film Production,Media & Communication,$10+ billion (USD),3.3,3.6,3.6,3.2,3.6,yr,7.0,9.0
"$140,000 /yr (est.)",140000.0,"Lead Animator, P12",5.0,2,1,"Cryptic Studios, Inc.",LA,3.4,0,23.0,51 to 200 Employees,2000,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$5 to $25 million (USD),3.1,3.1,3.7,3.0,4.0,yr,2.0,3.0
"$130,000 /yr (est.)",130000.0,Technical Animator,2.5,-1,-1,Paradox Interactive,LA,3.2,0,24.0,501 to 1000 Employees,1999,Public,Video Game Publishing,Media & Communication,$100 to $500 million (USD),3.2,2.5,3.3,2.7,3.9,yr,4.0,6.0
