Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
$52.50 /hr (est.),109200.0,Software Quality Assurance Engineer,-1,-1,-1,Metasys Technologies, NY,3.6,0,23,201 to 500 Employees,2000,Private Practice / Firm,HR Consulting,Human Resources & Staffing,$25 to $100 million (USD),3.6,3.5,3.9,3.7,3.8,2023-06-06 01:05:52.635092,hr
$36.50 /hr (est.),75920.0,IT Software Tester/QA Analyst 4 (VA40),5,1,1,Resource Management Associates LLC., VA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 01:05:55.332227,hr
"$5,671 /mo (est.)",68052.0,QA Tester - 100% remote within Texas,6,1,1,Health & Human Services Comm, TX,3.2,0,111,10000+ Employees,1912,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,3.2,3.3,3.0,2.8,3.0,2023-06-06 01:06:00.804388,mo
"$74,412 /yr (est.)",74412.0,Software Quality Assurance Engineer/ Tester,1,1,0,Techzio Solutions, GA,2.0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 01:06:08.653403,yr
"$74,635 /yr (est.)",74635.0,Software Tester / Software Test Engineer,5,1,-1,"Mission Solutions Group, Inc.", SC,3.6,0,-1,-1,-1,-1,-1,-1,-1,3.4,3.9,3.6,3.9,3.4,2023-06-06 01:06:13.381658,yr
"$78,997 /yr (est.)",78997.0,Software Quality Assurance Tester,0,2,-1,Dutech Systems, TX,4.5,0,8,51 to 200 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),4.4,4.1,4.3,4.2,4.4,2023-06-06 01:06:22.094371,yr
$46.09 /hr (est.),95867.2,Sr. ETL QA Tester,10,1,1,3Core Systems Inc., TX,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 01:06:25.020776,hr
"$88,750 /yr (est.)",88750.0,Jr. Web Developer,3,1,0,webfx.com, MI,4.2,0,28,501 to 1000 Employees,1995,Company - Private,Internet & Web Services,Information Technology,$100 to $500 million (USD),4.3,4.2,4.4,4.3,4.0,2023-06-06 01:06:43.056651,yr
"$91,176 /yr (est.)",91176.0,ETL Developer,0,1,0,Center For Health Information And Analysis, MA,3.6,0,-1,-1,-1,-1,-1,-1,-1,3.1,3.0,3.7,3.3,4.4,2023-06-06 01:06:46.469582,yr
"$112,000 /yr (est.)",112000.0,Software Developer,7,1,-1,Peraton, VA,3.6,0,6,10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),3.4,3.6,3.4,3.3,3.8,2023-06-06 01:06:50.614481,yr
"$5,671 /mo (est.)",68052.0,Test Analyst - 100% remote in Texas,5,1,1,Health & Human Services Comm, TX,3.2,0,111,10000+ Employees,1912,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,3.2,3.3,3.0,2.8,3.0,2023-06-06 01:06:53.635810,mo
"$65,301 /yr (est.)",65301.0,Software Tester,2,1,1,Chenega MIOS, MD,3.4,0,18,1001 to 5000 Employees,2005,Company - Private,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),3.6,3.9,3.6,3.5,3.9,2023-06-06 01:06:57.093952,yr
"$88,750 /yr (est.)",88750.0,Jr Software Engineer,3,1,0,webfx.com, MI,4.2,0,28,501 to 1000 Employees,1995,Company - Private,Internet & Web Services,Information Technology,$100 to $500 million (USD),4.3,4.2,4.4,4.3,4.0,2023-06-06 01:07:00.457504,yr
"$5,671 /mo (est.)",68052.0,QA Tester - 100% remote within Texas,6,1,1,Health & Human Services Comm, TX,3.2,0,111,10000+ Employees,1912,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,3.2,3.3,3.0,2.8,3.0,2023-06-06 01:07:03.776966,mo
$33.00 /hr (est.),68640.0,Software Test Engineer,1,1,0,Beyondsoft Consulting,United States,3.2,0,19,201 to 500 Employees,2004,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),2.9,2.7,3.2,2.9,3.7,2023-06-06 01:07:06.965311,hr
