Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$110,000 /yr (est.)",110000.0,"Senior Data Scientist, Machine Learning and Artificial Intelligence",0,1,1,Carnegie Learning, PA,3.6,0,24,501 to 1000 Employees,1999,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD),3.6,3.7,3.7,3.5,4.1,2023-06-03 23:35:16.401076,yr
"$203,556 /yr (est.)",203556.0,Software Engineer (Machine Learning),0,1,1,Anyscale, CA,4.0,0,4,51 to 200 Employees,2019,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.8,3.7,3.7,3.7,3.4,2023-06-03 23:35:19.148025,yr
"$159,200 /yr (est.)",159200.0,Artificial Intelligence Engineer Sr,7,1,-1,Volkswagen Group of America - Chattanooga Operations, CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 23:35:29.366851,yr
"$110,141 /yr (est.)",110141.0,Applied Artificial Intelligence Machine Learning Lead - Vice President,6,1,-1,"JPMorgan Chase Bank, N.A.", TX,3.8,0,224,10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.6,3.7,3.7,3.4,3.5,2023-06-03 23:35:35.049908,yr
"$185,007 /yr (est.)",185007.0,Machine Learning Research Scientist - Natural Language Processing,0,1,1,Toyota Research Institute, CA,4.1,0,7,201 to 500 Employees,2016,Subsidiary or Business Segment,Research & Development,Management & Consulting,Unknown / Non-Applicable,3.6,4.5,4.0,4.0,4.2,2023-06-03 23:35:45.259098,yr
"$167,870 /yr (est.)",167870.0,Staff Software Engineer - Applied Machine Learning,10,1,-1,Discord, CA,3.5,0,8,501 to 1000 Employees,2015,Company - Private,Internet & Web Services,Information Technology,$25 to $100 million (USD),3.5,4.1,3.5,3.1,3.4,2023-06-03 23:35:47.962022,yr
"$114,588 /yr (est.)",114588.0,Data Science Analyst - Platform - Remote,0,1,1,Mayo Clinic, MN,3.9,0,-1,-1,-1,-1,-1,-1,-1,3.8,3.8,3.9,3.3,3.5,2023-06-03 23:35:50.980328,yr
"$181,000 /yr (est.)",181000.0,"Research Scientist, Natural Language Processing",0,1,0,Snapchat, CA,3.9,0,12,5001 to 10000 Employees,2011,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.6,4.3,4.0,3.1,3.7,2023-06-03 23:35:54.660844,yr
"$74,160 /yr (est.)",74160.0,Postdoctoral Associate – AI for Science,0,1,-1,Cornell University, NY,4.4,0,158,10000+ Employees,1865,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),4.2,3.9,4.2,4.0,4.0,2023-06-03 23:35:57.808422,yr
"$110,000 /yr (est.)",110000.0,"Senior Data Scientist, Machine Learning and Artificial Intelligence",0,1,1,Carnegie Learning, PA,3.6,0,24,501 to 1000 Employees,1999,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD),3.6,3.7,3.7,3.5,4.1,2023-06-03 23:36:00.734273,yr
"$122,653 /yr (est.)",122653.0,Sr. Scientist Cheminformatics/Artificial Intelligence/Machine Learning,7,1,1,Bristol Myers Squibb, MA,3.9,0,165,10000+ Employees,1858,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.6,3.9,3.8,3.4,3.8,2023-06-03 23:36:07.556646,yr
$17.50 /hr (est.),36400.0,AI Training for Urdu,0,2,-1,Scaleapi,Remote,3.6,1,7,51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.8,3.5,3.6,3.4,3.3,2023-06-03 23:36:10.533034,hr
"$164,000 /yr (est.)",164000.0,"Artificial Intelligence Research Scientist - Reinforcement Learning, Sr Assoc",3,1,-1,"JPMorgan Chase Bank, N.A.", NY,3.8,0,224,10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.6,3.7,3.7,3.4,3.5,2023-06-03 23:36:13.493458,yr
"$163,000 /yr (est.)",163000.0,Artificial Intelligence Translational Data Scientist,3,1,1,Novartis, MA,4.0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 23:36:21.088547,yr
"$109,930 /yr (est.)",109930.0,Consultant Artificial Intelligence / Machine Learning Engineer (AI/ML),2,1,1,Specular Theory, CA,3.4,0,-1,-1,-1,-1,-1,-1,-1,2.3,3.4,3.1,2.7,3.5,2023-06-03 23:36:25.905445,yr
"$68,658 /yr (est.)",68658.0,Data Science (AI/ML),-1,-1,-1,Anblicks, TX,4.1,0,19,501 to 1000 Employees,2004,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4.0,3.9,4.1,3.8,4.1,2023-06-03 23:36:29.651474,yr
"$115,000 /yr (est.)",115000.0,Data Scientist,0,1,-1,Zest AI,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 23:36:36.124868,yr
"$170,900 /yr (est.)",170900.0,"Research Scientist, Generative AI",3,2,1,TikTok, CA,3.6,0,7,1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.4,3.6,3.4,3.1,3.0,2023-06-03 23:36:41.647784,yr
"$136,000 /yr (est.)",136000.0,"Software Engineer, Machine Learning - Generative AI",2,1,-1,Meta,Remote,3.9,1,19,10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),4.0,4.6,3.7,3.3,3.6,2023-06-03 23:36:44.975132,yr
"$144,550 /yr (est.)",144550.0,AI Machine Learning Scientist,0,1,1,PayPal, CA,4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),3.6,4.0,4.0,3.4,4.0,2023-06-03 23:36:47.898846,yr
"$150,186 /yr (est.)",150186.0,Senior Artificial Intelligence/Machine Learning Software Scientist,0,1,1,PerformanceStar, CA,2.0,0,-1,-1,-1,-1,-1,-1,-1,1.0,2.0,1.0,1.0,3.0,2023-06-03 23:36:55.191055,yr
