Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$38,250 /yr (est.)",38250.0,Communications Coordinator,3,1,1,Adoption Network Cleveland, OH,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 22:57:43.327361,yr
"$230,000 /yr (est.)",230000.0,Product Engineer (Tech Lead),5,1,1,Brilliant, CA,4.1,0,14,51 to 200 Employees,2009,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.2,4.0,4.2,4.2,4.3,2023-06-03 22:57:48.886024,yr
$35.00 /hr (est.),72800.0,Production Coordinator - VFX & Animation,3,1,0,VisualCreatures, CA,3.6,0,-1,-1,-1,-1,-1,-1,-1,5.0,3.1,5.0,5.0,3.1,2023-06-03 22:57:55.966210,hr
"$44,399 /yr (est.)",44399.0,Content Manager - Madden (12 month Contract),0,2,1,Electronic Arts, FL,4.0,0,41,10000+ Employees,1982,Company - Public,Video Game Publishing,Media & Communication,$5 to $10 billion (USD),3.8,3.8,4.1,3.6,4.0,2023-06-03 22:57:59.910368,yr
"$151,567 /yr (est.)",151567.0,"Consumer Experience Design Research Lead, Associate Director",10,1,1,Sanofi, MA,4.0,0,50,10000+ Employees,1973,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.6,3.9,3.8,3.4,3.7,2023-06-03 22:58:02.895200,yr
"$150,000 /yr (est.)",150000.0,Director/Senior Director of Marketing,8,1,1,MANTICORE GAMES, CA,3.3,0,7,51 to 200 Employees,2016,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.3,3.4,3.2,2.7,3.4,2023-06-03 22:58:06.225234,yr
"$55,353 /yr (est.)",55353.0,Digital Marketing Specialist,3,1,1,Summit Academy O I C, MN,4.0,0,28,501 to 1000 Employees,1995,Company - Private,Banking & Lending,Financial Services,$5 to $10 billion (USD),3.6,3.8,4.0,4.0,3.9,2023-06-03 22:58:09.255693,yr
"$78,917 /yr (est.)",78917.0,Sr. Learning Manager,0,2,1,Stand Together, VA,3.4,0,-1,-1,-1,-1,-1,-1,-1,3.2,3.8,3.3,3.0,3.7,2023-06-03 22:58:12.750346,yr
"$153,000 /yr (est.)",153000.0,Sr. Design,5,1,0,Warner Bros. Discovery, NY,3.8,0,20,10000+ Employees,2003,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.3,3.6,3.6,3.2,3.7,2023-06-03 22:58:16.844717,yr
"$60,000 /yr (est.)",60000.0,Marketing & Engagement Manager,3,1,1,RGI Creative, OH,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 22:58:20.323428,yr
"$56,329 /yr (est.)",56329.0,Visual Communication Designer,5,1,1,"Liveops Agent Services, LLC", AZ,3.8,0,23,201 to 500 Employees,2000,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD),3.9,3.1,3.7,3.2,4.1,2023-06-03 22:58:25.835035,yr
"$151,567 /yr (est.)",151567.0,"Consumer Experience Design Research Lead, Associate Director",10,1,1,Sanofi, MA,4.0,0,50,10000+ Employees,1973,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.6,3.9,3.8,3.4,3.7,2023-06-03 22:58:50.348108,yr
"$89,562 /yr (est.)",89562.0,Development Director,8,1,1,Electronic Arts, FL,4.0,0,41,10000+ Employees,1982,Company - Public,Video Game Publishing,Media & Communication,$5 to $10 billion (USD),3.8,3.8,4.1,3.6,4.0,2023-06-03 22:58:53.436330,yr
"$150,000 /yr (est.)",150000.0,Director/Senior Director of Marketing,8,1,1,MANTICORE GAMES, CA,3.3,0,7,51 to 200 Employees,2016,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.3,3.4,3.2,2.7,3.4,2023-06-03 22:58:56.598441,yr
"$44,226 /yr (est.)",44226.0,Social Media Specialist,2,1,1,Cirrus Aircraft, TN,3.7,0,29,1001 to 5000 Employees,1994,Company - Private,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),3.4,3.3,3.5,2.9,3.0,2023-06-03 22:58:59.592941,yr
"$176,600 /yr (est.)",176600.0,Senior Lead UX Designer,10,1,1,AT&T, TX,3.7,0,147,10000+ Employees,1876,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),3.6,4.0,3.5,3.2,3.3,2023-06-03 22:59:02.925812,yr
"$60,000 /yr (est.)",60000.0,Marketing & Engagement Manager,3,1,1,RGI Creative, OH,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 22:59:06.169916,yr
"$55,353 /yr (est.)",55353.0,Digital Marketing Specialist,3,1,1,Summit Academy O I C, MN,4.0,0,28,501 to 1000 Employees,1995,Company - Private,Banking & Lending,Financial Services,$5 to $10 billion (USD),3.6,3.8,4.0,4.0,3.9,2023-06-03 22:59:11.993627,yr
"$86,168 /yr (est.)",86168.0,"Senior Manager, Exhibition Development",0,1,1,Los Angeles County Museum Of Natural History Foundation, CA,3.7,0,110,201 to 500 Employees,1913,Nonprofit Organization,Culture & Entertainment,"Arts, Entertainment & Recreation",$1 to $5 million (USD),2.9,2.8,4.1,3.1,4.1,2023-06-03 22:59:19.940143,yr
