Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$130,377 /yr (est.)",130377.0,Computer Vision Software Engineer,0,2,-1,Valve Software, WA,4.4,0,-1,-1,-1,-1,-1,-1,-1,4.2,4.6,4.0,3.6,4.4,2023-06-03 21:04:12.625239,yr
"$135,558 /yr (est.)",135558.0,"Computer Vision, Software Engineer Generalist - Early Stage Project, X",5,1,1,Loon, CA,3.6,0,-1,-1,-1,-1,-1,-1,-1,3.1,3.7,3.3,2.7,3.2,2023-06-03 21:04:16.376270,yr
"$95,000 /yr (est.)",95000.0,Data Scientist I,0,1,1,VirginPulse,Remote,3.4,1,19,501 to 1000 Employees,2004,Company - Private,Computer Hardware Development,Information Technology,$100 to $500 million (USD),3.3,3.2,3.6,3.1,3.7,2023-06-03 21:04:20.248691,yr
"$143,103 /yr (est.)",143103.0,Senior Software Development Engineer in Test,4,1,1,PlayStation Global, CA,3.9,0,29,5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$10+ billion (USD),3.4,3.7,3.9,3.4,3.7,2023-06-03 21:04:23.369125,yr
"$159,331 /yr (est.)",159331.0,Staff Software Development Engineer in Test (SDET),7,1,0,King, CA,4.1,0,20,1001 to 5000 Employees,2003,Company - Public,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.6,4.2,4.2,3.3,4.3,2023-06-03 21:04:26.908109,yr
"$103,700 /yr (est.)",103700.0,Software Test Engineer,3,1,1,PACCAR, WA,3.6,0,118,10000+ Employees,1905,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),3.4,3.4,3.2,3.0,3.6,2023-06-03 21:04:41.608410,yr
"$207,000 /yr (est.)",207000.0,"Software Engineer, Computer Vision - Reality Labs",0,1,-1,Meta, CA,3.9,0,19,10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),4.0,4.6,3.7,3.3,3.6,2023-06-03 21:04:44.796588,yr
"$127,433 /yr (est.)",127433.0,Machine Learning Engineer - Computer Vision and Geospatial Analytics,5,1,1,Buzz Solutions, CA,4.5,0,-1,-1,-1,-1,-1,-1,-1,4.2,4.2,4.8,4.5,4.8,2023-06-03 21:04:52.121903,yr
"$135,558 /yr (est.)",135558.0,"Computer Vision, Software Engineer Generalist - Early Stage Project, X",5,1,1,Loon, CA,3.6,0,-1,-1,-1,-1,-1,-1,-1,3.1,3.7,3.3,2.7,3.2,2023-06-03 21:04:59.872481,yr
"$92,500 /yr (est.)",92500.0,Software QA/Test Engineer,5,1,1,Travel Zap Inc.,Remote,4.6,1,11,51 to 200 Employees,2012,Company - Private,Travel Agencies,Hotels & Travel Accommodation,Unknown / Non-Applicable,4.3,4.1,4.7,4.5,4.5,2023-06-03 21:05:07.779815,yr
"$77,256 /yr (est.)",77256.0,Associate Software Engineer,0,1,0,Erie Insurance, PA,4.0,0,98,5001 to 10000 Employees,1925,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),3.9,3.9,4.1,3.6,4.0,2023-06-03 21:05:11.317528,yr
