Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$115,000 /yr (est.)",115000.0,IT Operations Engineer,3,1,-1,Hudson River Trading, NY,4.1,0,21,501 to 1000 Employees,2002,Company - Private,Research & Development,Management & Consulting,Unknown / Non-Applicable,4.1,4.6,3.9,4.2,3.6,2023-06-03 23:16:52.482542,yr
"$178,000 /yr (est.)",178000.0,"Senior UX Designer, Pokémon GO",0,1,-1,Niantic, WA,3.5,0,12,501 to 1000 Employees,2011,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.3,3.8,3.5,2.6,3.7,2023-06-03 23:16:55.115911,yr
"$111,798 /yr (est.)",111798.0,Senior IT Systems Engineer,0,1,1,Hudson River Trading, TX,4.1,0,21,501 to 1000 Employees,2002,Company - Private,Research & Development,Management & Consulting,Unknown / Non-Applicable,4.1,4.6,3.9,4.2,3.6,2023-06-03 23:16:57.997750,yr
"$136,089 /yr (est.)",136089.0,Head of Interaction Design,4,1,1,Yohana, CA,3.0,0,-1,-1,-1,-1,-1,-1,-1,3.0,3.4,3.3,3.4,3.4,2023-06-03 23:17:05.349857,yr
"$142,057 /yr (est.)",142057.0,Senior Android Engineer,5,2,-1,UnifyID, CA,4.2,0,8,1 to 50 Employees,2015,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.1,4.0,4.0,4.0,4.5,2023-06-03 23:17:09.113907,yr
"$138,552 /yr (est.)",138552.0,Consumer & Market Research Lead,10,1,1,Supercell, CA,4.6,0,13,201 to 500 Employees,2010,Company - Private,Video Game Publishing,Media & Communication,$1 to $5 billion (USD),4.3,4.4,4.7,4.1,4.6,2023-06-03 23:17:11.679206,yr
"$175,000 /yr (est.)",175000.0,Senior Product Manager,6,1,1,Pragma Platform,California,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 23:17:22.746904,yr
"$155,875 /yr (est.)",155875.0,Lead XR Prototyping Engineer (FT),10,1,1,HTC.com, CA,3.7,0,26,10000+ Employees,1997,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.2,3.4,3.4,3.1,3.6,2023-06-03 23:17:28.626060,yr
"$187,500 /yr (est.)",187500.0,"VP, Product",10,1,1,MarketCast, NY,3.2,0,36,201 to 500 Employees,1987,Company - Private,Research & Development,Management & Consulting,$25 to $100 million (USD),3.0,2.9,3.3,3.0,3.0,2023-06-03 23:17:31.637231,yr
"$166,400 /yr (est.)",166400.0,Senior Product Manager- Mobile,5,1,1,Activision, CA,3.2,0,44,1001 to 5000 Employees,1979,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$500 million to $1 billion (USD),3.1,3.1,3.2,3.0,3.0,2023-06-03 23:17:34.573079,yr
"$132,500 /yr (est.)",132500.0,Sr. Product Manager,5,1,1,MarketCast, NY,3.2,0,36,201 to 500 Employees,1987,Company - Private,Research & Development,Management & Consulting,$25 to $100 million (USD),3.0,2.9,3.3,3.0,3.0,2023-06-03 23:17:37.724852,yr
"$81,306 /yr (est.)",81306.0,Technical Research & Development Engineer- REMOTE,5,1,1,Effectv, PA,3.6,0,20,1001 to 5000 Employees,2003,Company - Private,Advertising & Public Relations,Media & Communication,$1 to $5 billion (USD),3.3,3.8,3.7,3.3,3.8,2023-06-03 23:17:44.424994,yr
$52.00 /hr (est.),108160.0,Product Designer (Mid-Level Contract-to-hire),0,1,0,Sleeper,Washington State,5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-06-03 23:17:54.575974,hr
$37.50 /hr (est.),78000.0,Adjunct Assistant Professor of Interactive Media & Games - Development,7,1,-1,USC, CA,4.3,0,143,10000+ Employees,1880,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),3.9,3.8,4.0,3.9,4.1,2023-06-03 23:17:58.363943,hr
"$166,400 /yr (est.)",166400.0,Senior Product Manager- Mobile,5,1,1,Activision, CA,3.2,0,44,1001 to 5000 Employees,1979,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$500 million to $1 billion (USD),3.1,3.1,3.2,3.0,3.0,2023-06-03 23:18:00.970807,yr
"$142,057 /yr (est.)",142057.0,Senior Android Engineer,5,2,-1,UnifyID, CA,4.2,0,8,1 to 50 Employees,2015,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.1,4.0,4.0,4.0,4.5,2023-06-03 23:18:08.241043,yr
"$132,500 /yr (est.)",132500.0,Sr. Product Manager,5,1,1,MarketCast, NY,3.2,0,36,201 to 500 Employees,1987,Company - Private,Research & Development,Management & Consulting,$25 to $100 million (USD),3.0,2.9,3.3,3.0,3.0,2023-06-03 23:18:11.118535,yr
