Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$73,551 /yr (est.)",73551.0,Game Designer,0,1,-1,GAMEVISION, IL,3.9,0,-1,-1,-1,-1,-1,-1,-1,4.0,3.7,4.3,4.7,4.0,2023-06-03 19:42:48.763042,yr
"$56,110 /yr (est.)",56110.0,Producer/Videographer,0,1,-1,Syracuse University, NY,4.2,0,153,1001 to 5000 Employees,1870,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),3.8,3.7,3.8,3.6,3.9,2023-06-03 19:42:51.684205,yr
"$44,394 /yr (est.)",44394.0,Content Video Editor / Producer,0,2,-1,Pittsburgh Knights, PA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 19:42:54.033257,yr
"$60,106 /yr (est.)",60106.0,Visual Content Producer (On-site),0,1,1,Georgia Tech, GA,4.4,0,138,5001 to 10000 Employees,1885,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),4.2,3.6,4.2,4.0,4.0,2023-06-03 19:42:59.259184,yr
"$107,500 /yr (est.)",107500.0,"Producer, Games & VR",3,1,-1,Major League Baseball, NY,3.9,0,154,201 to 500 Employees,1869,Self-employed,Sports & Recreation,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,3.5,3.6,3.8,3.5,3.6,2023-06-03 19:43:11.614237,yr
"$57,670 /yr (est.)",57670.0,Cinematic Producer,3,1,1,id Software, TX,4.2,0,32,51 to 200 Employees,1991,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,4.0,4.4,3.9,3.5,3.7,2023-06-03 19:43:13.876801,yr
"$83,846 /yr (est.)",83846.0,"Lead Game Producer, Football",8,1,1,Sorare, NY,5.0,0,5,51 to 200 Employees,2018,Company - Private,Internet & Web Services,Information Technology,$100 to $500 million (USD),5.0,5.0,5.0,5.0,4.7,2023-06-03 19:43:15.932616,yr
"$179,000 /yr (est.)",179000.0,Executive Producer (Games),10,2,1,Warner Bros. Discovery, CA,3.8,0,20,10000+ Employees,2003,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.3,3.6,3.6,3.2,3.7,2023-06-03 19:43:18.050464,yr
"$73,262 /yr (est.)",73262.0,Event Producer,5,1,-1,Ignited, CA,3.5,0,24,51 to 200 Employees,1999,Company - Private,Advertising & Public Relations,Media & Communication,$100 to $500 million (USD),3.1,3.2,3.5,3.2,3.3,2023-06-03 19:43:23.772502,yr
"$93,014 /yr (est.)",93014.0,Senior Producer,5,1,1,Big Huge Games, MD,4.4,0,10,51 to 200 Employees,2013,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.8,3.8,4.5,4.0,4.5,2023-06-03 19:43:25.812568,yr
